model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,auc
rlv_only,0.9875,0.9876847290640394,0.9876237623762376,0.9874999218745117,0.9753694581280788,1.0,0.9875311720698254,1.0,0.9752475247524752,0.9874686716791979,0.9974372437243725
rf_to_rlv,0.9025,0.9075178846785814,0.9030653065306531,0.9022795181628549,0.8597285067873304,0.9595959595959596,0.9069212410501193,0.9553072625698324,0.8465346534653465,0.8976377952755905,0.9761976197619762
rwf,0.9025,0.9061656449456343,0.9025,0.9022795181628549,0.867579908675799,0.95,0.9069212410501193,0.9447513812154696,0.855,0.8976377952755905,0.958075
