model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,auc
ce_fl,0.8625,0.8629446071437511,0.8625,0.8624578777250533,0.8756476683937824,0.845,0.8600508905852418,0.8502415458937198,0.88,0.8648648648648649,0.6767
ce_loss,0.84,0.8458447767266809,0.8400000000000001,0.839321131781778,0.8008849557522124,0.905,0.8497652582159625,0.8908045977011494,0.775,0.8288770053475936,0.6132500000000001
fl_tvr,0.84,0.8458447767266809,0.8400000000000001,0.839321131781778,0.8008849557522124,0.905,0.8497652582159625,0.8908045977011494,0.775,0.8288770053475936,0.573825
focal_loss,0.8,0.8051571559353067,0.8,0.7991514147272225,0.7654867256637168,0.865,0.812206572769953,0.8448275862068966,0.735,0.786096256684492,0.57805
tvr,0.7855297157622739,0.787815802177761,0.7869385026737967,0.785478151108974,0.7524271844660194,0.8288770053475936,0.7888040712468194,0.8232044198895028,0.745,0.7821522309711286,0.532927807486631
ce_tvr,0.815,0.8152837553798418,0.815,0.8149583656322672,0.8247422680412371,0.8,0.8121827411167513,0.8058252427184466,0.83,0.8177339901477833,0.6705625
baseline,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.4625375
