epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,59.17266,0.53575,0.001,61.99/755.17G,3.35G,0.33387485 0.33267677 0.33344838
2/100,73.06655,0.41883,0.00199,63.17/755.17G,5.20G,0.33207887 0.3321641  0.33575702
3/100,76.48381,0.37905,0.00298,64.11/755.17G,5.50G,0.3266652  0.32985848 0.34347638
4/100,77.29317,0.36267,0.00397,66.59/755.17G,5.50G,0.3133044  0.32584488 0.36085072
5/100,78.91187,0.3549,0.00497,67.22/755.17G,7.05G,0.29090923 0.3190743  0.3900165
6/100,80.3732,0.33772,0.00496,66.89/755.17G,7.35G,0.270309   0.30784824 0.42184275
7/100,80.57554,0.32555,0.00494,33.86/755.17G,7.35G,0.24970917 0.29591063 0.45438018
8/100,79.92356,0.32434,0.00492,35.38/755.17G,8.89G,0.2313918  0.281878   0.48673025
9/100,80.93525,0.31636,0.0049,35.04/755.17G,9.19G,0.21324345 0.27011213 0.51664436
10/100,82.05935,0.30468,0.00488,35.34/755.17G,9.19G,0.19672433 0.25654355 0.5467321
11/100,82.95863,0.29104,0.00485,35.10/755.17G,10.74G,0.18198897 0.24532676 0.5726842
12/100,83.07104,0.29495,0.00482,34.92/755.17G,11.04G,0.1750005  0.23892474 0.58607477
13/100,83.7455,0.28208,0.00479,35.22/755.17G,11.04G,0.17197503 0.23140669 0.5966183
14/100,83.34083,0.28135,0.00476,34.94/755.17G,11.04G,0.16267109 0.22226283 0.6150661
15/100,83.52068,0.2825,0.00473,35.01/755.17G,11.04G,0.16033521 0.21728334 0.62238145
16/100,84.15018,0.27894,0.00469,34.83/755.17G,11.04G,0.1562311  0.21092796 0.6328409
17/100,84.28507,0.27553,0.00465,35.32/755.17G,12.58G,0.1492873  0.20543483 0.64527786
18/100,84.01529,0.2746,0.00461,35.74/755.17G,12.88G,0.14778249 0.19833213 0.65388536
19/100,85.38669,0.26011,0.00457,34.90/755.17G,12.88G,0.14210439 0.19407323 0.66382235
20/100,85.09442,0.26808,0.00452,35.87/755.17G,12.88G,0.13889228 0.1919553  0.66915244
21/100,85.0045,0.26249,0.00448,35.25/755.17G,14.73G,0.13803713 0.18850559 0.67345726
22/100,85.36421,0.25842,0.00443,35.46/755.17G,14.73G,0.13895646 0.188582   0.67246157
23/100,83.94784,0.27341,0.00438,36.22/755.17G,14.73G,0.13501811 0.18476254 0.68021935
24/100,85.97122,0.24772,0.00432,36.10/755.17G,16.28G,0.13274822 0.18071026 0.6865415
25/100,84.93705,0.26777,0.00427,36.14/755.17G,16.58G,0.1316423  0.17867555 0.6896821
26/100,85.85881,0.25489,0.00421,36.33/755.17G,18.12G,0.1316279 0.1745799 0.6937922
27/100,84.93705,0.25639,0.00415,36.57/755.17G,18.42G,0.1336751  0.17634583 0.68997914
28/100,85.56655,0.24869,0.00409,36.50/755.17G,18.42G,0.12830104 0.17327559 0.6984234
29/100,85.20683,0.25239,0.00403,37.52/755.17G,18.42G,0.12352094 0.16793811 0.7085409
30/100,86.33094,0.24333,0.00397,37.38/755.17G,18.42G,0.12469486 0.16739777 0.70790744
31/100,84.73471,0.25686,0.00391,36.66/755.17G,18.42G,0.11989266 0.16668461 0.71342266
32/100,86.26349,0.24778,0.00384,37.47/755.17G,18.42G,0.12158222 0.16758338 0.7108343
33/100,86.19604,0.24009,0.00377,37.18/755.17G,18.42G,0.12209384 0.16550057 0.7124057
34/100,85.88129,0.25128,0.0037,37.07/755.17G,18.42G,0.12155288 0.1641883  0.71425885
35/100,86.30845,0.24215,0.00364,37.06/755.17G,18.42G,0.12057661 0.1644008  0.71502256
36/100,86.30845,0.2426,0.00356,37.65/755.17G,18.42G,0.12018912 0.16256452 0.71724635
37/100,86.51079,0.2417,0.00349,37.84/755.17G,18.42G,0.11906092 0.16233937 0.7185996
38/100,86.6232,0.24189,0.00342,37.84/755.17G,18.42G,0.11717638 0.16055708 0.7222665
39/100,86.82554,0.23201,0.00335,37.78/755.17G,18.42G,0.11761691 0.16030048 0.72208256
40/100,86.19604,0.23774,0.00327,38.05/755.17G,18.42G,0.11669803 0.16067824 0.72262377
41/100,86.44335,0.23396,0.0032,37.98/755.17G,18.42G,0.11516655 0.15922676 0.7256067
42/100,86.24101,0.24226,0.00312,38.04/755.17G,18.42G,0.11738789 0.16003038 0.7225817
43/100,86.48831,0.23054,0.00305,37.86/755.17G,18.42G,0.11868412 0.15971138 0.72160447
44/100,87.41007,0.22647,0.00297,37.39/755.17G,18.42G,0.11755873 0.15900093 0.72344035
45/100,86.42086,0.23804,0.00289,37.48/755.17G,18.42G,0.11601874 0.15745549 0.7265257
46/100,87.02788,0.23172,0.00281,37.44/755.17G,18.42G,0.1171001  0.15858601 0.7243139
47/100,86.96043,0.2292,0.00274,37.43/755.17G,18.42G,0.11637544 0.15863399 0.7249906
48/100,86.91547,0.23019,0.00266,37.80/755.17G,18.42G,0.11438908 0.15844667 0.7271642
49/100,86.6232,0.23184,0.00258,37.70/755.17G,18.42G,0.1121381  0.15593447 0.73192745
50/100,87.45504,0.22384,0.0025,37.32/755.17G,18.42G,0.11110687 0.15617302 0.73272014
51/100,87.43255,0.23029,0.00242,37.69/755.17G,18.42G,0.11075562 0.15688597 0.73235846
52/100,87.63489,0.21779,0.00234,37.65/755.17G,18.43G,0.10991911 0.15539758 0.73468333
53/100,87.47752,0.2226,0.00227,37.40/755.17G,19.97G,0.10900176 0.15451026 0.7364879
54/100,87.56745,0.22263,0.00219,37.53/755.17G,20.27G,0.10856442 0.15441811 0.73701745
55/100,87.65737,0.21872,0.00211,37.10/755.17G,20.27G,0.10900778 0.15412787 0.7368643
56/100,87.05036,0.22361,0.00203,37.17/755.17G,20.27G,0.10792384 0.15427531 0.7378009
57/100,87.70234,0.22271,0.00195,38.82/755.17G,20.27G,0.10700735 0.15457664 0.738416
58/100,87.65737,0.22624,0.00188,31.90/755.17G,20.27G,0.10725956 0.15636021 0.73638016
59/100,87.72482,0.22324,0.0018,33.05/755.17G,20.27G,0.10567173 0.15576786 0.73856044
60/100,87.54496,0.22343,0.00173,35.51/755.17G,20.27G,0.10544468 0.15612951 0.73842573
61/100,87.32014,0.21967,0.00165,35.23/755.17G,20.27G,0.10574736 0.15707059 0.737182
62/100,87.67986,0.21808,0.00158,35.29/755.17G,20.27G,0.10547569 0.15664637 0.73787796
63/100,87.76978,0.21918,0.00151,35.39/755.17G,20.27G,0.10523707 0.15652792 0.738235
64/100,88.33183,0.21006,0.00144,35.26/755.17G,20.27G,0.10434791 0.15684578 0.73880625
65/100,87.36511,0.22335,0.00137,35.33/755.17G,20.27G,0.10453708 0.15729764 0.7381653
66/100,88.60162,0.20828,0.0013,35.29/755.17G,20.27G,0.10537256 0.15792008 0.7367074
67/100,87.92716,0.21815,0.00123,35.04/755.17G,20.27G,0.10512995 0.15842423 0.73644584
68/100,88.89388,0.20234,0.00116,35.34/755.17G,20.27G,0.10432766 0.15783511 0.7378373
69/100,88.06205,0.21381,0.0011,34.11/755.17G,20.27G,0.10402821 0.15796268 0.7380091
70/100,87.85971,0.21802,0.00103,34.37/755.17G,20.27G,0.1024141  0.15710564 0.74048024
71/100,87.67986,0.22163,0.00097,34.42/755.17G,20.27G,0.10196561 0.15750143 0.740533
72/100,88.08453,0.21202,0.00091,34.23/755.17G,20.27G,0.10190178 0.1582777  0.7398206
73/100,88.46673,0.20423,0.00085,34.29/755.17G,20.27G,0.10142618 0.1579292  0.74064463
74/100,88.48921,0.2081,0.00079,34.11/755.17G,20.27G,0.10076427 0.15766414 0.7415716
75/100,88.28687,0.21143,0.00073,34.59/755.17G,20.27G,0.10008177 0.15758337 0.74233484
76/100,88.55665,0.20923,0.00068,34.15/755.17G,20.27G,0.10000046 0.15719296 0.74280655
77/100,88.60162,0.20685,0.00062,34.29/755.17G,20.27G,0.10030966 0.15819094 0.7414994
78/100,87.72482,0.21364,0.00057,34.55/755.17G,20.27G,0.10042334 0.15809087 0.7414858
79/100,87.7473,0.2194,0.00052,34.33/755.17G,20.27G,0.10076487 0.15833138 0.74090374
80/100,88.6241,0.20668,0.00048,35.01/755.17G,20.27G,0.10092823 0.1588446  0.74022716
81/100,88.44424,0.20704,0.00043,31.43/755.17G,20.27G,0.10082587 0.15886302 0.7403111
82/100,87.70234,0.21424,0.00039,27.09/755.17G,20.27G,0.10063326 0.15895991 0.7404069
83/100,88.6241,0.20762,0.00035,28.18/755.17G,20.27G,0.1005085  0.15911685 0.7403747
84/100,88.17446,0.20158,0.00031,29.87/755.17G,20.27G,0.10038821 0.15905343 0.7405584
85/100,88.53417,0.20551,0.00027,30.44/755.17G,20.27G,0.10013131 0.1590583  0.74081033
86/100,89.05126,0.20375,0.00024,30.24/755.17G,20.27G,0.10005186 0.15921599 0.74073225
87/100,88.33183,0.20831,0.00021,28.79/755.17G,20.27G,0.09993764 0.159485   0.7405773
88/100,88.73651,0.20778,0.00018,27.88/755.17G,20.27G,0.09987422 0.15949638 0.7406294
89/100,88.39928,0.20569,0.00015,55.11/755.17G,20.27G,0.09981636 0.1595581  0.74062556
90/100,89.18615,0.19931,0.00012,63.71/755.17G,20.27G,0.09977081 0.15956236 0.74066687
91/100,88.01709,0.20912,0.0001,64.66/755.17G,20.27G,0.09968651 0.15958057 0.7407329
92/100,89.05126,0.20159,8e-05,64.50/755.17G,20.27G,0.09968273 0.15952119 0.7407961
93/100,88.66906,0.19978,6e-05,64.26/755.17G,20.27G,0.09970449 0.15957789 0.74071765
94/100,88.98381,0.20155,4e-05,64.60/755.17G,20.27G,0.09965724 0.15963487 0.7407079
95/100,88.80396,0.2047,3e-05,64.81/755.17G,20.27G,0.09967737 0.15966208 0.74066055
96/100,88.6241,0.20083,2e-05,64.76/755.17G,20.27G,0.09967444 0.15966661 0.740659
97/100,89.20863,0.20177,1e-05,55.43/755.17G,20.27G,0.09967581 0.1596753  0.74064887
98/100,88.26439,0.21309,0.0,54.80/755.17G,20.27G,0.09967697 0.15968317 0.7406398
99/100,88.75899,0.20319,0.0,54.96/755.17G,20.27G,0.09967513 0.1596857  0.74063915
100/100,88.98381,0.19964,0.0,55.13/755.17G,20.27G,0.099675   0.15968518 0.74063975
