model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,auc
pose_text,0.6856127886323268,0.7010042440461709,0.6877193203908005,0.6809585554435,0.7607655502392344,0.5559440559440559,0.6424242424242425,0.6412429378531074,0.8194945848375451,0.7194928684627575,0.5650513746181616
text_only,0.5079928952042628,0.2539964476021314,0.5,0.336866902237927,0.5079928952042628,1.0,0.673733804475854,0.0,0.0,0.0,0.5
pose,0.6909413854351687,0.6959205478746685,0.6921120395849638,0.6897423228944968,0.731404958677686,0.6188811188811189,0.6704545454545454,0.660436137071651,0.7653429602888087,0.7090301003344481,0.5548395647673626
rgb_pose_no_velo,0.8952042628774423,0.8951728924785461,0.8952626795587084,0.8951923592683627,0.901060070671378,0.8916083916083916,0.8963093145869947,0.8892857142857142,0.8989169675090253,0.8940754039497307,0.7088750599580924
rgb_only,0.9023090586145648,0.9049076241856677,0.9016876625179875,0.9020308856610424,0.8762214983713354,0.9405594405594405,0.9072512647554806,0.93359375,0.8628158844765343,0.8968105065666041,0.6691638686223524
all_weighted,0.9094138543516874,0.9102174628490418,0.9090782863346041,0.909299394444813,0.8956228956228957,0.9300699300699301,0.9125214408233276,0.924812030075188,0.8880866425992779,0.9060773480662984,0.6240248920754335
