epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,56.29496,0.55185,0.001,17.81/503.53G,0.44G,1.
2/100,70.77338,0.44561,0.00199,18.11/503.53G,0.77G,1.
3/100,74.3705,0.40977,0.00298,19.88/503.53G,0.77G,1.
4/100,75.56205,0.39351,0.00397,20.00/503.53G,0.77G,1.
5/100,76.55126,0.3841,0.00497,19.52/503.53G,0.77G,1.
6/100,77.69784,0.37454,0.00496,19.99/503.53G,0.77G,1.
7/100,76.59622,0.37012,0.00494,20.44/503.53G,0.77G,1.
8/100,77.92266,0.36305,0.00492,19.52/503.53G,0.77G,1.
9/100,78.23741,0.36676,0.0049,19.11/503.53G,0.77G,1.
10/100,77.67536,0.36896,0.00488,18.70/503.53G,0.77G,1.
11/100,78.97932,0.35265,0.00485,19.02/503.53G,0.77G,1.
12/100,78.59712,0.35603,0.00482,19.89/503.53G,0.77G,1.
13/100,79.58633,0.34808,0.00479,19.59/503.53G,0.77G,1.
14/100,79.63129,0.35277,0.00476,20.31/503.53G,0.78G,1.
15/100,79.92356,0.33732,0.00473,19.60/503.53G,0.78G,1.
16/100,79.45144,0.3523,0.00469,19.98/503.53G,0.78G,1.
17/100,80.57554,0.33946,0.00465,20.15/503.53G,0.78G,1.
18/100,80.84532,0.33558,0.00461,19.92/503.53G,0.78G,1.
19/100,80.32824,0.34273,0.00457,19.06/503.53G,0.78G,1.
20/100,80.39568,0.33795,0.00452,24.14/503.53G,0.78G,1.
21/100,81.02518,0.33464,0.00448,24.22/503.53G,0.78G,1.
22/100,81.54227,0.33265,0.00443,23.50/503.53G,0.78G,1.
23/100,80.48561,0.33169,0.00438,23.66/503.53G,0.78G,1.
24/100,79.8786,0.33758,0.00432,18.73/503.53G,0.78G,1.
25/100,81.07014,0.32911,0.00427,19.43/503.53G,0.78G,1.
26/100,80.59802,0.33732,0.00421,20.83/503.53G,0.78G,1.
27/100,80.48561,0.33883,0.00415,19.66/503.53G,0.78G,1.
28/100,81.27248,0.32445,0.00409,19.95/503.53G,0.78G,1.
29/100,81.42986,0.32435,0.00403,21.18/503.53G,0.78G,1.
30/100,81.25,0.32532,0.00397,20.23/503.53G,0.78G,1.
31/100,81.40737,0.32652,0.00391,20.68/503.53G,0.78G,1.
32/100,80.86781,0.32684,0.00384,20.66/503.53G,0.78G,1.
33/100,81.36241,0.32039,0.00377,19.99/503.53G,0.78G,1.
