epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,53.41727,0.57091,0.001,32.48/503.47G,1.78G,0.49923462 0.50076544
2/100,59.93705,0.53007,0.00199,33.07/503.47G,2.04G,0.48880938 0.51119065
3/100,67.01888,0.47419,0.00298,31.29/503.47G,2.04G,0.46679148 0.5332085
4/100,71.96493,0.43036,0.00397,32.49/503.47G,2.04G,0.44105333 0.55894667
5/100,73.49371,0.41229,0.00497,33.75/503.47G,2.04G,0.4072052  0.59279484
6/100,75.65198,0.39337,0.00496,35.46/503.47G,2.04G,0.37806064 0.62193936
7/100,75.8768,0.39109,0.00494,34.79/503.47G,2.04G,0.35694927 0.64305073
8/100,76.79856,0.37612,0.00492,34.58/503.47G,2.04G,0.33915815 0.6608418
9/100,77.09083,0.37229,0.0049,34.70/503.47G,2.04G,0.32907075 0.67092925
10/100,78.03507,0.36431,0.00488,42.48/503.47G,2.04G,0.31633103 0.683669
11/100,79.0018,0.35147,0.00485,32.90/503.47G,2.04G,0.30713996 0.69286007
12/100,78.41727,0.35707,0.00482,40.16/503.47G,2.04G,0.302275 0.697725
13/100,78.84442,0.3493,0.00479,40.40/503.47G,2.04G,0.29159394 0.70840603
14/100,79.83363,0.34111,0.00476,41.02/503.47G,2.04G,0.28422627 0.71577376
15/100,79.06924,0.34825,0.00473,40.90/503.47G,2.04G,0.2816629 0.7183371
16/100,79.58633,0.34117,0.00469,33.59/503.47G,2.04G,0.27729413 0.72270584
17/100,79.69874,0.3492,0.00465,33.91/503.47G,2.04G,0.27203283 0.72796714
18/100,79.74371,0.33827,0.00461,40.22/503.47G,2.04G,0.26834646 0.7316536
19/100,80.19335,0.34014,0.00457,42.33/503.47G,2.04G,0.26450622 0.7354938
20/100,79.92356,0.33876,0.00452,45.27/503.47G,2.04G,0.26263127 0.7373687
21/100,80.59802,0.3328,0.00448,46.34/503.47G,2.04G,0.2582892  0.74171084
22/100,81.04766,0.33113,0.00443,45.44/503.47G,2.04G,0.25576174 0.74423826
23/100,81.40737,0.32791,0.00438,46.41/503.47G,2.04G,0.25460014 0.7453999
24/100,80.03597,0.33613,0.00432,46.83/503.47G,2.04G,0.2538965 0.7461035
25/100,81.20504,0.32622,0.00427,38.92/503.47G,2.04G,0.25024694 0.749753
26/100,82.26169,0.31435,0.00421,39.12/503.47G,2.04G,0.24945283 0.7505472
27/100,81.69964,0.31887,0.00415,40.28/503.47G,2.04G,0.25111377 0.74888617
28/100,81.8795,0.32243,0.00409,40.04/503.47G,2.04G,0.24748984 0.75251013
29/100,81.36241,0.31776,0.00403,40.53/503.47G,2.04G,0.24837738 0.7516226
30/100,81.69964,0.31401,0.00397,38.15/503.47G,2.04G,0.24597119 0.7540288
31/100,82.55396,0.3089,0.00391,37.51/503.47G,2.04G,0.24446383 0.7555362
32/100,81.85701,0.31676,0.00384,38.48/503.47G,2.04G,0.24269314 0.7573069
33/100,81.04766,0.3137,0.00377,39.05/503.47G,2.04G,0.24248788 0.75751215
34/100,81.65468,0.31904,0.0037,38.03/503.47G,2.04G,0.24231492 0.75768507
35/100,81.72212,0.30889,0.00364,37.95/503.47G,2.04G,0.24167526 0.75832474
36/100,82.73381,0.30149,0.00356,39.59/503.47G,2.04G,0.2415704  0.75842965
37/100,82.03687,0.30744,0.00349,38.21/503.47G,2.04G,0.24079958 0.7592004
38/100,82.77878,0.30531,0.00342,39.06/503.47G,2.04G,0.2396876 0.7603124
39/100,82.59892,0.3095,0.00335,39.54/503.47G,2.04G,0.24096045 0.7590396
40/100,82.48651,0.30333,0.00327,38.85/503.47G,2.04G,0.24170369 0.7582963
41/100,83.2509,0.29129,0.0032,35.29/503.47G,2.04G,0.24123242 0.75876755
42/100,82.23921,0.29966,0.00312,35.48/503.47G,2.04G,0.24122296 0.758777
43/100,82.55396,0.30275,0.00305,35.28/503.47G,2.04G,0.2412826 0.7587174
44/100,83.04856,0.28563,0.00297,35.29/503.47G,2.04G,0.24223626 0.75776374
45/100,83.31835,0.30342,0.00289,35.47/503.47G,2.04G,0.24135855 0.7586414
46/100,83.43076,0.28565,0.00281,35.94/503.47G,2.04G,0.24172246 0.7582776
47/100,83.85791,0.29333,0.00274,35.91/503.47G,2.04G,0.23999774 0.7600022
48/100,83.18345,0.28716,0.00266,36.04/503.47G,2.04G,0.24163572 0.7583643
49/100,83.31835,0.29169,0.00258,36.18/503.47G,2.04G,0.23919852 0.7608015
50/100,83.31835,0.28818,0.0025,36.41/503.47G,2.04G,0.23757733 0.7624227
51/100,83.94784,0.28952,0.00242,36.21/503.47G,2.04G,0.2379264  0.76207364
52/100,83.56565,0.28826,0.00234,36.79/503.47G,2.04G,0.23764344 0.7623566
53/100,84.53237,0.27665,0.00227,29.19/503.47G,2.04G,0.23890603 0.761094
54/100,82.80126,0.29094,0.00219,29.96/503.47G,2.04G,0.2396528 0.7603472
55/100,84.03777,0.2793,0.00211,29.61/503.47G,2.04G,0.23962547 0.7603745
56/100,84.46493,0.27787,0.00203,29.50/503.47G,2.04G,0.23841734 0.7615826
57/100,83.58813,0.28713,0.00195,29.70/503.47G,2.04G,0.23806666 0.7619333
58/100,84.41996,0.27661,0.00188,30.38/503.47G,2.04G,0.23823477 0.7617652
59/100,83.36331,0.28879,0.0018,30.18/503.47G,2.04G,0.23835461 0.76164544
60/100,84.59982,0.27549,0.00173,30.57/503.47G,2.04G,0.23928487 0.7607151
61/100,84.08273,0.2829,0.00165,30.93/503.47G,2.04G,0.23970355 0.76029646
62/100,84.19514,0.27481,0.00158,31.16/503.47G,2.04G,0.24128589 0.75871414
63/100,83.92536,0.2791,0.00151,31.21/503.47G,2.04G,0.24043845 0.75956154
64/100,84.15018,0.27715,0.00144,31.22/503.47G,2.04G,0.24194482 0.75805515
