epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,59.17266,0.53575,0.001,64.30/755.17G,3.35G,0.33387485 0.33267677 0.33344838
2/100,73.06655,0.41883,0.00199,65.64/755.17G,7.05G,0.33207887 0.3321641  0.33575702
3/100,76.48381,0.37905,0.00298,65.83/755.17G,7.35G,0.32666394 0.3298591  0.34347698
4/100,77.2482,0.36271,0.00397,65.74/755.17G,9.19G,0.3133206  0.3258326  0.36084676
5/100,78.82194,0.35496,0.00497,65.81/755.17G,9.19G,0.29110366 0.3190145  0.3898818
6/100,80.17086,0.33775,0.00496,65.73/755.17G,11.04G,0.27013603 0.30785364 0.4220104
7/100,80.53058,0.32505,0.00494,65.74/755.17G,11.04G,0.25023183 0.29620242 0.45356575
8/100,79.94604,0.32399,0.00492,65.82/755.17G,12.58G,0.23189895 0.28117397 0.48692718
9/100,80.86781,0.3166,0.0049,65.92/755.17G,12.88G,0.21336018 0.26932532 0.5173145
10/100,82.08183,0.30398,0.00488,65.79/755.17G,12.88G,0.19635735 0.25541708 0.5482255
11/100,82.89119,0.29164,0.00485,65.52/755.17G,14.73G,0.18168803 0.2438865  0.5744255
12/100,83.09353,0.29546,0.00482,65.81/755.17G,14.73G,0.17478794 0.23765175 0.5875603
13/100,84.03777,0.28139,0.00479,65.90/755.17G,16.27G,0.17238003 0.22984883 0.5977711
14/100,83.34083,0.28313,0.00476,65.38/755.17G,16.57G,0.16216835 0.22038159 0.61745006
15/100,83.72302,0.28092,0.00473,65.63/755.17G,18.12G,0.15923496 0.2156569  0.6251081
16/100,84.08273,0.27975,0.00469,65.90/755.17G,18.42G,0.1542597  0.20909387 0.63664645
17/100,84.50989,0.27543,0.00465,66.30/755.17G,18.42G,0.14803986 0.20417678 0.64778334
18/100,83.92536,0.27466,0.00461,65.73/755.17G,18.42G,0.14689676 0.19706495 0.65603834
19/100,85.11691,0.26032,0.00457,65.53/755.17G,18.42G,0.14137435 0.1928196  0.66580606
20/100,85.18435,0.26679,0.00452,65.77/755.17G,18.42G,0.1371996  0.18998705 0.6728134
21/100,84.98201,0.26281,0.00448,66.07/755.17G,18.42G,0.1367163  0.18700717 0.6762765
22/100,85.0045,0.25997,0.00443,65.43/755.17G,18.42G,0.1376391  0.18697517 0.6753858
23/100,84.01529,0.27304,0.00438,66.14/755.17G,18.42G,0.13369422 0.1829795  0.68332636
24/100,86.06115,0.2473,0.00432,65.65/755.17G,18.42G,0.13156211 0.17911677 0.6893211
25/100,85.09442,0.26695,0.00427,65.82/755.17G,18.42G,0.1316162  0.17798653 0.69039726
26/100,85.81385,0.25487,0.00421,66.51/755.17G,18.42G,0.1315731  0.17418551 0.69424134
27/100,85.09442,0.25593,0.00415,66.59/755.17G,18.42G,0.13330299 0.17580451 0.6908925
28/100,85.72392,0.24789,0.00409,66.06/755.17G,18.42G,0.12874465 0.17311126 0.6981441
29/100,85.20683,0.25335,0.00403,66.86/755.17G,18.42G,0.12393236 0.16779053 0.7082771
30/100,86.24101,0.24388,0.00397,66.44/755.17G,18.42G,0.12500204 0.16722195 0.707776
31/100,85.27428,0.25705,0.00391,65.82/755.17G,18.42G,0.11951263 0.16564794 0.71483946
32/100,86.30845,0.24743,0.00384,66.32/755.17G,18.42G,0.12140669 0.16681817 0.7117751
33/100,86.39838,0.23883,0.00377,66.07/755.17G,18.42G,0.12164833 0.16481519 0.7135365
34/100,86.01619,0.25177,0.0037,66.44/755.17G,18.42G,0.1222818 0.1632433 0.7144749
35/100,86.1286,0.24356,0.00364,66.21/755.17G,19.96G,0.12171407 0.16383597 0.71444994
36/100,86.51079,0.24406,0.00356,66.25/755.17G,20.22G,0.12102461 0.16177173 0.7172037
37/100,86.6232,0.24332,0.00349,66.11/755.17G,20.22G,0.11929771 0.16081363 0.7198887
38/100,86.39838,0.24138,0.00342,66.34/755.17G,20.22G,0.1173102 0.1591224 0.7235674
39/100,87.32014,0.23237,0.00335,66.34/755.17G,20.22G,0.11630594 0.15844913 0.72524494
40/100,86.53327,0.23666,0.00327,66.16/755.17G,20.22G,0.11568459 0.1583655  0.72594994
41/100,86.24101,0.23364,0.0032,66.45/755.17G,20.22G,0.11390914 0.15614255 0.72994834
42/100,86.39838,0.24151,0.00312,66.35/755.17G,20.22G,0.11544822 0.15709326 0.72745854
43/100,86.84802,0.23131,0.00305,66.28/755.17G,20.22G,0.11701947 0.15766835 0.72531223
44/100,87.34263,0.22677,0.00297,67.25/755.17G,20.22G,0.11756478 0.157158   0.7252773
45/100,86.66817,0.23616,0.00289,66.09/755.17G,20.22G,0.11604009 0.1558781  0.7280818
46/100,87.14029,0.23057,0.00281,66.47/755.17G,20.22G,0.11649897 0.1569664  0.72653466
47/100,86.98291,0.22682,0.00274,66.22/755.17G,20.22G,0.11553211 0.15697269 0.7274952
48/100,87.09532,0.2294,0.00266,66.61/755.17G,20.22G,0.11421849 0.15706119 0.7287203
49/100,86.53327,0.23093,0.00258,66.30/755.17G,20.22G,0.11152758 0.15444967 0.73402274
50/100,87.67986,0.2233,0.0025,65.93/755.17G,20.22G,0.11017809 0.15470009 0.73512185
51/100,87.5,0.22964,0.00242,65.76/755.17G,20.22G,0.11026699 0.15549204 0.734241
52/100,87.70234,0.21775,0.00234,65.79/755.17G,22.11G,0.10979884 0.15405855 0.73614264
53/100,87.32014,0.22176,0.00227,65.11/755.17G,22.11G,0.10897047 0.15373918 0.7372904
54/100,87.16277,0.22476,0.00219,65.23/755.17G,22.11G,0.10852142 0.15349281 0.73798573
55/100,87.45504,0.21846,0.00211,65.71/755.17G,22.11G,0.1089433  0.15312564 0.7379311
56/100,87.29766,0.22369,0.00203,65.03/755.17G,22.11G,0.10762781 0.15332004 0.7390521
57/100,87.47752,0.22154,0.00195,65.60/755.17G,22.11G,0.10682074 0.15359412 0.73958516
58/100,87.63489,0.22648,0.00188,65.61/755.17G,22.11G,0.10633763 0.15474582 0.7389166
59/100,87.67986,0.22356,0.0018,65.89/755.17G,22.11G,0.10518908 0.1543815  0.74042946
60/100,87.65737,0.22417,0.00173,74.90/755.17G,22.11G,0.10484726 0.15491645 0.74023634
61/100,87.47752,0.22017,0.00165,74.90/755.17G,22.11G,0.10510869 0.15587743 0.73901397
62/100,87.72482,0.21945,0.00158,74.78/755.17G,22.11G,0.10542107 0.1556716  0.73890734
63/100,87.32014,0.21953,0.00151,66.17/755.17G,22.11G,0.10498429 0.1551886  0.73982716
64/100,88.39928,0.20894,0.00144,75.37/755.17G,22.11G,0.10424083 0.15574943 0.7400098
65/100,87.27518,0.22194,0.00137,75.41/755.17G,22.11G,0.10426652 0.15650564 0.7392278
66/100,88.35432,0.20837,0.0013,75.13/755.17G,23.95G,0.10535141 0.15735687 0.7372917
67/100,88.10701,0.21788,0.00123,75.63/755.17G,23.95G,0.10483584 0.15774478 0.7374193
68/100,89.20863,0.20237,0.00116,68.07/755.17G,25.50G,0.10377714 0.15719871 0.73902416
69/100,88.28687,0.21332,0.0011,67.22/755.17G,25.80G,0.10322046 0.15698911 0.73979044
70/100,87.88219,0.21828,0.00103,77.62/755.17G,25.80G,0.10142789 0.15603991 0.74253225
71/100,87.81475,0.22147,0.00097,77.37/755.17G,25.80G,0.10134167 0.15638304 0.7422752
72/100,88.19694,0.21004,0.00091,67.09/755.17G,25.80G,0.10116254 0.1571571  0.7416803
73/100,88.44424,0.20389,0.00085,67.57/755.17G,25.80G,0.10072249 0.15673034 0.74254715
74/100,88.42176,0.20792,0.00079,67.19/755.17G,25.80G,0.10005327 0.15654649 0.7434003
75/100,88.53417,0.21069,0.00073,67.28/755.17G,25.80G,0.09955008 0.15651682 0.74393314
76/100,88.64658,0.20943,0.00068,67.17/755.17G,25.80G,0.09941228 0.1561641  0.74442357
77/100,88.51169,0.20627,0.00062,65.28/755.17G,25.80G,0.09956256 0.15695779 0.7434797
78/100,87.83723,0.21276,0.00057,65.60/755.17G,25.80G,0.0996966  0.15690765 0.7433957
79/100,87.9946,0.2196,0.00052,65.59/755.17G,25.80G,0.10006974 0.15718299 0.7427473
80/100,88.69155,0.20605,0.00048,65.68/755.17G,25.80G,0.10023096 0.15770367 0.7420654
81/100,88.39928,0.20826,0.00043,65.62/755.17G,25.80G,0.1000763  0.15774886 0.74217486
82/100,87.72482,0.21559,0.00039,65.37/755.17G,25.80G,0.09980771 0.15781195 0.7423804
83/100,88.69155,0.20737,0.00035,65.33/755.17G,25.80G,0.09966502 0.15798208 0.74235284
84/100,88.08453,0.20366,0.00031,65.26/755.17G,25.80G,0.09957965 0.15784688 0.74257344
85/100,88.57914,0.20486,0.00027,65.70/755.17G,25.80G,0.09931413 0.15785751 0.74282837
86/100,88.93885,0.20405,0.00024,65.84/755.17G,25.80G,0.09927728 0.15807799 0.7426447
87/100,88.26439,0.20851,0.00021,65.59/755.17G,25.80G,0.09922072 0.15836397 0.74241537
88/100,88.78147,0.20705,0.00018,65.70/755.17G,25.80G,0.09916748 0.15839261 0.7424399
89/100,88.64658,0.20546,0.00015,65.55/755.17G,25.80G,0.0991075  0.15845422 0.74243826
90/100,88.8714,0.19878,0.00012,65.88/755.17G,25.80G,0.09905182 0.15846786 0.74248034
91/100,88.03957,0.20972,0.0001,65.44/755.17G,25.80G,0.09897678 0.15850446 0.7425187
92/100,89.02878,0.20024,8e-05,65.43/755.17G,25.80G,0.09897865 0.15843709 0.7425843
93/100,88.6241,0.20021,6e-05,65.51/755.17G,25.80G,0.0990056  0.15848748 0.7425069
94/100,88.96133,0.20149,4e-05,66.46/755.17G,25.80G,0.09894984 0.15854211 0.74250805
95/100,88.73651,0.20417,3e-05,65.42/755.17G,25.80G,0.09896813 0.15857597 0.74245596
96/100,88.89388,0.2002,2e-05,65.24/755.17G,25.80G,0.09896483 0.15858147 0.74245375
97/100,88.96133,0.2014,1e-05,65.61/755.17G,25.80G,0.09896859 0.158592   0.7424394
98/100,88.06205,0.21347,0.0,73.76/755.17G,25.80G,0.0989687  0.15859975 0.7424315
99/100,88.89388,0.20254,0.0,73.54/755.17G,25.80G,0.09896626 0.15860198 0.74243176
100/100,89.23112,0.19896,0.0,75.78/755.17G,25.80G,0.09896614 0.15860158 0.7424323
