model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,auc
tvr_60_epochs,0.8774422735346359,0.878028293545535,0.8777801620761909,0.8774360867384123,0.8974358974358975,0.8566433566433567,0.8765652951699463,0.8586206896551725,0.8989169675090253,0.8783068783068783,0.5332925197546136
fl_tvr,0.8934280639431617,0.8953147226173542,0.8928896013733558,0.89318239311915,0.8717105263157895,0.9265734265734266,0.8983050847457628,0.918918918918919,0.8592057761732852,0.8880597014925373,0.5509643785817071
ce_fl,0.8898756660746003,0.8898475171038347,0.8898475171038347,0.8898475171038347,0.8916083916083916,0.8916083916083916,0.8916083916083916,0.8880866425992779,0.8880866425992779,0.8880866425992779,0.646607003105198
ce_tvr_64,0.8969804618117229,0.8979711793704968,0.8974085481305698,0.8969645336362488,0.9222222222222223,0.8706293706293706,0.89568345323741,0.8737201365187713,0.924187725631769,0.8982456140350877,0.6884956199035621
baseline,0.8632326820603907,0.8647499365321147,0.8627149024260938,0.8629403749055464,0.8448844884488449,0.8951048951048951,0.8692699490662139,0.8846153846153846,0.8303249097472925,0.8566108007448789,0.36157254298048525
26_epochs_ce,0.8845470692717584,0.8845153962645129,0.8846027618590795,0.8845339551261624,0.8904593639575972,0.8811188811188811,0.8857644991212654,0.8785714285714286,0.8880866425992779,0.8833034111310593,0.6552472797960163
focal_loss_epoch_53,0.8792184724689165,0.8806551470401665,0.8787331801772235,0.8789798447259944,0.8609271523178808,0.9090909090909091,0.8843537414965986,0.9003831417624522,0.8483754512635379,0.8736059479553904,0.5910353184721415
