epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,58.4982,0.54364,0.001,13.61/503.47G,0.42G,1.
2/100,66.41187,0.48199,0.00199,15.06/503.47G,0.75G,1.
3/100,70.43615,0.44069,0.00298,14.68/503.47G,0.76G,1.
4/100,73.76349,0.41338,0.00397,15.24/503.47G,0.76G,1.
5/100,74.88759,0.40799,0.00497,14.72/503.47G,0.76G,1.
6/100,75.20234,0.39445,0.00496,14.81/503.47G,0.76G,1.
7/100,75.26978,0.39406,0.00494,14.38/503.47G,0.76G,1.
8/100,75.31475,0.39532,0.00492,14.94/503.47G,0.77G,1.
9/100,75.94424,0.38424,0.0049,14.69/503.47G,0.77G,1.
10/100,76.16906,0.38151,0.00488,14.66/503.47G,0.77G,1.
11/100,77.04586,0.373,0.00485,15.00/503.47G,0.77G,1.
12/100,77.15827,0.37514,0.00482,15.06/503.47G,0.77G,1.
13/100,77.42806,0.36684,0.00479,14.66/503.47G,0.77G,1.
14/100,77.22572,0.37595,0.00476,15.24/503.47G,0.77G,1.
15/100,77.27068,0.37037,0.00473,14.66/503.47G,0.77G,1.
16/100,78.125,0.36001,0.00469,14.69/503.47G,0.77G,1.
17/100,77.69784,0.36721,0.00465,15.04/503.47G,0.77G,1.
18/100,78.14748,0.36325,0.00461,14.96/503.47G,0.77G,1.
19/100,77.78777,0.36713,0.00457,16.13/503.47G,0.77G,1.
20/100,77.45054,0.36495,0.00452,14.74/503.47G,0.77G,1.
21/100,78.52968,0.36329,0.00448,14.95/503.47G,0.77G,1.
22/100,77.81025,0.3574,0.00443,14.57/503.47G,0.77G,1.
23/100,78.32734,0.35491,0.00438,15.53/503.47G,0.77G,1.
24/100,78.41727,0.35697,0.00432,15.09/503.47G,0.77G,1.
25/100,78.88939,0.34937,0.00427,15.26/503.47G,0.77G,1.
26/100,79.04676,0.35548,0.00421,15.38/503.47G,0.77G,1.
27/100,79.27158,0.35301,0.00415,14.67/503.47G,0.77G,1.
28/100,79.20414,0.34883,0.00409,15.24/503.47G,0.77G,1.
