model,accuracy,precision_macro,recall_macro,f1_macro,precision_class_1,recall_class_1,f1_class_1,precision_class_0,recall_class_0,f1_class_0,auc
ce_fl,0.90625,0.5,0.453125,0.47540983606557374,0.0,0.0,0.0,,,,
ce_loss,0.84,0.8458447767266809,0.8400000000000001,0.839321131781778,0.8908045977011494,0.775,0.8288770053475936,0.8008849557522124,0.905,0.8497652582159625,0.6132500000000001
focal_loss,0.8,0.8051571559353067,0.8,0.7991514147272225,0.8448275862068966,0.735,0.786096256684492,0.7654867256637168,0.865,0.812206572769953,0.57805
tvr,0.7855297157622739,0.787815802177761,0.7869385026737967,0.785478151108974,0.8232044198895028,0.745,0.7821522309711286,0.7524271844660194,0.8288770053475936,0.7888040712468194,0.532927807486631
ce_tvr,0.815,0.8152837553798418,0.815,0.8149583656322672,0.8058252427184466,0.83,0.8177339901477833,0.8247422680412371,0.8,0.8121827411167513,0.6705625
baseline,0.685,0.6944094157208911,0.685,0.6811418159732767,0.6516393442622951,0.795,0.7162162162162162,0.7371794871794872,0.575,0.6460674157303371,0.62415
