epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,59.82464,0.52749,0.001,57.92/755.17G,3.35G,0.33373696 0.3332632  0.33299989
2/100,74.59532,0.40872,0.00199,59.03/755.17G,7.05G,0.3338757  0.33309278 0.33303154
3/100,75.17986,0.3969,0.00298,58.64/755.17G,7.35G,0.33223152 0.3327043  0.33506414
4/100,75.89928,0.37801,0.00397,58.82/755.17G,9.19G,0.32568353 0.33275253 0.34156394
5/100,77.74281,0.37254,0.00497,58.63/755.17G,9.19G,0.31813937 0.32950613 0.35235444
6/100,78.19245,0.35198,0.00496,58.84/755.17G,11.04G,0.30878502 0.32478958 0.36642545
7/100,79.4964,0.34395,0.00494,58.44/755.17G,11.04G,0.29589945 0.31688023 0.38722032
8/100,79.31655,0.34305,0.00492,58.95/755.17G,12.58G,0.28379    0.30918157 0.4070284
9/100,80.91277,0.32716,0.0049,58.88/755.17G,12.88G,0.2709175  0.29943126 0.4296513
10/100,81.13759,0.32022,0.00488,48.87/755.17G,12.88G,0.25603327 0.29100418 0.45296258
11/100,80.44065,0.3178,0.00485,49.75/755.17G,14.73G,0.24154004 0.27918655 0.47927344
12/100,81.51978,0.31385,0.00482,49.38/755.17G,14.73G,0.2226712  0.27002886 0.5072999
13/100,81.69964,0.30424,0.00479,48.97/755.17G,16.27G,0.21440375 0.25971174 0.5258845
14/100,82.21673,0.30538,0.00476,49.10/755.17G,16.57G,0.201231   0.25379604 0.544973
15/100,83.22842,0.29173,0.00473,49.51/755.17G,18.12G,0.19038117 0.24427395 0.5653449
16/100,83.2509,0.29395,0.00469,49.06/755.17G,18.42G,0.1819979  0.23733892 0.5806632
17/100,83.27338,0.28679,0.00465,49.14/755.17G,18.42G,0.17219698 0.22900568 0.5987973
18/100,83.85791,0.27828,0.00461,49.91/755.17G,18.42G,0.16472788 0.22375222 0.6115199
19/100,83.85791,0.27971,0.00457,48.85/755.17G,18.42G,0.16456157 0.21861278 0.6168257
20/100,83.79047,0.27527,0.00452,49.08/755.17G,18.42G,0.1624639  0.21423012 0.623306
21/100,83.36331,0.2839,0.00448,49.57/755.17G,18.42G,0.15491699 0.2070881  0.63799495
22/100,84.375,0.26719,0.00443,49.11/755.17G,18.42G,0.14832658 0.20491332 0.64676005
23/100,84.03777,0.27352,0.00438,49.91/755.17G,18.42G,0.14625914 0.20118485 0.65255594
24/100,84.33004,0.26856,0.00432,53.34/755.17G,18.42G,0.14815846 0.19944987 0.6523917
25/100,84.68975,0.27383,0.00427,52.03/755.17G,18.42G,0.14448018 0.19574754 0.6597723
26/100,84.53237,0.26538,0.00421,49.46/755.17G,18.42G,0.14251766 0.19398847 0.66349393
27/100,84.64478,0.25907,0.00415,49.46/755.17G,18.42G,0.14169808 0.19264035 0.6656615
28/100,85.90378,0.2509,0.00409,49.14/755.17G,18.42G,0.13806997 0.18951152 0.67241853
29/100,85.4991,0.25462,0.00403,48.98/755.17G,20.26G,0.13860859 0.18716131 0.67423004
30/100,85.22932,0.26247,0.00397,49.98/755.17G,20.26G,0.13522631 0.18540296 0.67937064
31/100,85.02698,0.2651,0.00391,49.18/755.17G,22.11G,0.13470662 0.18405356 0.68123984
32/100,85.65647,0.255,0.00384,49.62/755.17G,22.11G,0.13300765 0.18212783 0.6848645
33/100,85.65647,0.25408,0.00377,49.61/755.17G,23.65G,0.13459712 0.18253906 0.68286383
34/100,86.06115,0.25005,0.0037,60.29/755.17G,23.65G,0.13017935 0.18028903 0.6895316
35/100,85.18435,0.25599,0.00364,74.18/755.17G,23.65G,0.12930307 0.17988488 0.69081205
36/100,86.08363,0.24961,0.00356,60.63/755.17G,23.65G,0.12321578 0.17774864 0.6990356
37/100,85.79137,0.25306,0.00349,61.52/755.17G,23.65G,0.1244776  0.17680314 0.69871926
38/100,86.39838,0.24845,0.00342,61.75/755.17G,23.65G,0.1249922  0.1761947  0.69881314
39/100,85.97122,0.24622,0.00335,50.47/755.17G,23.65G,0.12433708 0.1763692  0.69929373
40/100,85.97122,0.24093,0.00327,49.92/755.17G,23.65G,0.12527817 0.1764773  0.6982445
41/100,86.44335,0.24033,0.0032,51.62/755.17G,23.65G,0.12258738 0.17385149 0.7035611
42/100,86.42086,0.24906,0.00312,51.50/755.17G,23.65G,0.12144753 0.17554606 0.70300645
