epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,59.59982,0.53546,0.001,30.72/503.47G,2.79G,0.5010027 0.4989973
2/100,72.81924,0.41915,0.00199,32.45/503.47G,5.47G,0.5003123  0.49968767
3/100,75.38219,0.38579,0.00298,32.76/503.47G,7.30G,0.492037 0.507963
4/100,76.25899,0.38248,0.00397,32.45/503.47G,7.30G,0.47413447 0.52586555
5/100,76.95594,0.37603,0.00497,33.87/503.47G,8.30G,0.44297788 0.55702215
6/100,77.27068,0.36561,0.00496,36.43/503.47G,9.14G,0.40091893 0.59908104
7/100,78.25989,0.34936,0.00494,33.58/503.47G,10.13G,0.35419187 0.6458081
8/100,78.23741,0.34855,0.00492,32.93/503.47G,12.81G,0.31035686 0.68964314
9/100,80.98022,0.3157,0.0049,32.76/503.47G,12.81G,0.27246606 0.72753394
10/100,81.22752,0.31486,0.00488,32.66/503.47G,13.80G,0.23785132 0.7621487
11/100,81.4973,0.32314,0.00485,32.85/503.47G,14.64G,0.2090127  0.79098725
12/100,81.63219,0.30951,0.00482,33.20/503.47G,14.65G,0.19588222 0.80411774
13/100,81.78957,0.30671,0.00479,32.63/503.47G,16.48G,0.18362387 0.81637615
14/100,82.28417,0.30124,0.00476,33.23/503.47G,16.48G,0.17370895 0.8262911
15/100,83.61061,0.29002,0.00473,33.10/503.47G,17.47G,0.16604261 0.8339574
16/100,83.13849,0.28927,0.00469,37.50/503.47G,18.31G,0.16082229 0.8391777
17/100,82.66637,0.29276,0.00465,37.08/503.47G,18.31G,0.15928207 0.840718
18/100,83.34083,0.28801,0.00461,36.18/503.47G,18.37G,0.15346885 0.84653115
19/100,84.17266,0.2799,0.00457,38.09/503.47G,18.37G,0.14832135 0.85167867
20/100,83.92536,0.28069,0.00452,37.46/503.47G,18.37G,0.14092205 0.85907793
21/100,83.67806,0.28623,0.00448,36.08/503.47G,18.37G,0.14228863 0.85771143
22/100,83.0036,0.28357,0.00443,37.32/503.47G,18.37G,0.14046451 0.85953546
23/100,84.17266,0.27299,0.00438,37.11/503.47G,18.37G,0.13741457 0.8625854
24/100,83.7455,0.27503,0.00432,35.99/503.47G,18.37G,0.14016944 0.8598305
25/100,84.15018,0.27527,0.00427,35.17/503.47G,18.37G,0.13995652 0.8600435
26/100,84.33004,0.2677,0.00421,36.27/503.47G,18.37G,0.14000036 0.8599996
27/100,84.91457,0.26884,0.00415,36.33/503.47G,18.37G,0.13705625 0.86294377
28/100,84.19514,0.27356,0.00409,35.95/503.47G,18.37G,0.13490751 0.86509246
29/100,84.39748,0.27249,0.00403,36.76/503.47G,18.37G,0.13464944 0.86535054
30/100,84.1277,0.27669,0.00397,34.79/503.47G,18.37G,0.13050236 0.86949766
31/100,84.75719,0.26273,0.00391,27.68/503.47G,18.37G,0.13178463 0.8682153
32/100,83.99281,0.27153,0.00384,27.55/503.47G,18.37G,0.12849987 0.87150013
33/100,85.22932,0.26058,0.00377,28.54/503.47G,18.37G,0.13065754 0.86934245
34/100,84.89209,0.26325,0.0037,27.51/503.47G,18.37G,0.12540743 0.87459254
35/100,83.90288,0.272,0.00364,28.17/503.47G,20.14G,0.12298437 0.87701565
36/100,85.61151,0.25443,0.00356,27.80/503.47G,20.14G,0.12060355 0.8793965
37/100,85.31924,0.26036,0.00349,27.76/503.47G,20.14G,0.12041068 0.8795893
38/100,84.30755,0.26961,0.00342,28.75/503.47G,20.14G,0.12213016 0.87786984
39/100,85.31924,0.26209,0.00335,28.43/503.47G,20.14G,0.12112191 0.87887806
40/100,86.1286,0.25792,0.00327,27.54/503.47G,20.14G,0.11968032 0.88031965
41/100,86.19604,0.25087,0.0032,28.27/503.47G,20.14G,0.12023133 0.8797686
42/100,84.98201,0.25987,0.00312,27.53/503.47G,20.14G,0.11655142 0.88344854
43/100,85.22932,0.2576,0.00305,23.53/503.47G,20.14G,0.11607544 0.8839245
44/100,85.45414,0.25545,0.00297,23.79/503.47G,20.14G,0.1166044 0.8833956
45/100,85.58903,0.24871,0.00289,23.71/503.47G,20.14G,0.11480215 0.8851978
46/100,86.46583,0.24529,0.00281,16.77/503.47G,20.14G,0.11486567 0.8851344
47/100,85.4991,0.25661,0.00274,16.34/503.47G,20.14G,0.11370553 0.8862945
48/100,85.61151,0.25823,0.00266,16.98/503.47G,20.14G,0.11165375 0.8883462
49/100,84.71223,0.2646,0.00258,17.10/503.47G,20.14G,0.11052287 0.88947713
50/100,86.3759,0.24746,0.0025,16.50/503.47G,20.14G,0.11024033 0.88975966
51/100,86.06115,0.24589,0.00242,16.75/503.47G,21.99G,0.11210366 0.8878963
52/100,86.06115,0.24093,0.00234,16.29/503.47G,21.99G,0.11155232 0.88844776
