epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
158/350,93.2554,11.12996,0.00058,33.12/755.17G,59.87G,0.3568175  0.64318246
159/350,93.54766,11.12564,0.00057,32.99/755.17G,59.87G,0.356529   0.64347094
160/350,94.2446,11.13176,0.00057,33.45/755.17G,59.87G,0.35629898 0.643701
161/350,94.04227,11.11067,0.00056,33.89/755.17G,59.87G,0.35607746 0.6439225
162/350,93.5027,11.12577,0.00056,60.11/755.17G,59.87G,0.35593256 0.6440674
163/350,93.57014,11.12046,0.00055,60.18/755.17G,59.87G,0.35566682 0.6443332
164/350,93.9973,11.11082,0.00055,60.50/755.17G,59.87G,0.35533813 0.6446619
165/350,93.52518,11.11004,0.00054,65.00/755.17G,59.87G,0.35515586 0.6448441
166/350,94.08723,11.10531,0.00054,59.13/755.17G,59.87G,0.35495245 0.6450475
167/350,93.68255,11.1043,0.00054,65.92/755.17G,59.87G,0.35466468 0.6453353
168/350,93.77248,11.11468,0.00053,66.06/755.17G,59.87G,0.35450333 0.64549667
169/350,94.55935,11.10489,0.00053,66.33/755.17G,59.87G,0.3543054 0.6456947
170/350,94.15468,11.08497,0.00052,66.14/755.17G,59.87G,0.35400644 0.6459936
171/350,93.86241,11.09647,0.00052,65.66/755.17G,59.87G,0.35376716 0.64623284
172/350,94.40198,11.06104,0.00051,59.36/755.17G,59.87G,0.35351306 0.64648694
173/350,93.90737,11.04229,0.00051,59.71/755.17G,59.87G,0.35331953 0.6466805
174/350,94.17716,11.04756,0.0005,59.50/755.17G,59.87G,0.3531597  0.64684033
175/350,94.8741,11.03779,0.0005,52.22/755.17G,59.87G,0.35279274 0.64720726
176/350,94.46942,11.04087,0.0005,59.87/755.17G,59.87G,0.35259166 0.6474083
177/350,94.13219,11.04249,0.00049,59.47/755.17G,59.87G,0.35244417 0.6475558
178/350,94.26709,11.04787,0.00049,59.98/755.17G,59.87G,0.3522922  0.64770776
179/350,94.31205,11.02168,0.00048,59.92/755.17G,59.87G,0.35206002 0.64794
180/350,94.08723,11.02313,0.00048,59.68/755.17G,59.87G,0.35181102 0.648189
181/350,94.22212,11.03019,0.00047,59.67/755.17G,59.87G,0.35166788 0.64833206
182/350,94.35701,11.02472,0.00047,59.93/755.17G,59.87G,0.35144472 0.6485552
183/350,93.97482,11.02487,0.00046,59.57/755.17G,59.87G,0.3513367 0.6486633
184/350,94.26709,11.01617,0.00046,53.94/755.17G,59.87G,0.35112134 0.64887863
185/350,94.55935,11.01303,0.00046,59.77/755.17G,59.87G,0.35092142 0.64907855
186/350,94.85162,11.02711,0.00045,34.03/755.17G,59.87G,0.3507744  0.64922565
187/350,94.15468,11.00976,0.00045,33.37/755.17G,59.87G,0.3505932 0.6494068
188/350,94.46942,11.02462,0.00044,33.41/755.17G,59.87G,0.35040465 0.6495953
189/350,94.55935,10.9851,0.00044,34.46/755.17G,59.87G,0.35023433 0.64976573
190/350,94.28957,11.00138,0.00043,33.24/755.17G,59.87G,0.3500481 0.6499519
191/350,94.78417,10.99707,0.00043,33.43/755.17G,59.87G,0.3499032  0.65009683
192/350,94.78417,10.98467,0.00042,33.40/755.17G,59.87G,0.34980157 0.65019846
193/350,95.18885,10.98218,0.00042,33.50/755.17G,59.87G,0.3496925  0.65030754
194/350,94.94155,10.98354,0.00042,33.50/755.17G,59.87G,0.34948286 0.6505171
195/350,94.69424,10.95486,0.00041,33.88/755.17G,59.87G,0.3493182 0.6506818
196/350,94.44694,10.96044,0.00041,33.92/755.17G,59.87G,0.34917498 0.6508251
197/350,94.78417,10.96176,0.0004,33.78/755.17G,59.87G,0.34908867 0.65091133
198/350,94.78417,10.94964,0.0004,33.63/755.17G,59.87G,0.34890765 0.6510924
