epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,61.46583,0.52095,0.001,23.01/503.47G,3.10G,0.49965072 0.5003493
2/100,71.98741,0.4275,0.00199,23.73/503.47G,4.99G,0.50058556 0.49941438
3/100,74.52788,0.39474,0.00298,23.89/503.47G,6.58G,0.5012893 0.4987107
4/100,76.32644,0.38517,0.00397,30.17/503.47G,6.58G,0.50010395 0.49989605
5/100,76.84353,0.3749,0.00497,24.17/503.47G,6.59G,0.5017176  0.49828243
6/100,77.04586,0.37074,0.00496,24.63/503.47G,9.47G,0.50755006 0.49244988
7/100,78.25989,0.36587,0.00494,27.11/503.47G,9.76G,0.5160981  0.48390186
8/100,78.66457,0.35107,0.00492,29.47/503.47G,9.77G,0.5180941  0.48190588
9/100,79.20414,0.34793,0.0049,38.66/503.47G,9.77G,0.51952505 0.48047492
10/100,79.83363,0.34027,0.00488,38.75/503.47G,12.65G,0.52503365 0.4749663
11/100,79.09173,0.34964,0.00485,28.39/503.47G,12.95G,0.5282106  0.47178942
12/100,79.38399,0.34291,0.00482,39.06/503.47G,12.95G,0.5239999  0.47600004
13/100,80.17086,0.33257,0.00479,39.56/503.47G,12.95G,0.5297403  0.47025976
14/100,78.73201,0.34596,0.00476,38.66/503.47G,15.83G,0.5294366  0.47056347
15/100,79.72122,0.33005,0.00473,28.38/503.47G,16.13G,0.5391886  0.46081135
16/100,80.10342,0.33259,0.00469,38.32/503.47G,16.13G,0.53417826 0.4658217
17/100,80.44065,0.33438,0.00465,38.46/503.47G,17.42G,0.5297567  0.47024322
18/100,81.18255,0.32437,0.00461,28.37/503.47G,19.31G,0.53462577 0.46537417
19/100,80.14838,0.31988,0.00457,33.29/503.47G,19.31G,0.5344472  0.46555287
20/100,80.71043,0.31593,0.00452,38.85/503.47G,19.31G,0.5353007  0.46469933
21/100,80.1259,0.32445,0.00448,42.67/503.47G,19.31G,0.5342192  0.46578082
22/100,80.26079,0.3239,0.00443,38.59/503.47G,19.31G,0.5368886  0.46311143
23/100,80.89029,0.31492,0.00438,42.90/503.47G,19.31G,0.5378879  0.46211207
24/100,80.26079,0.32206,0.00432,39.16/503.47G,19.31G,0.5371044  0.46289557
25/100,80.86781,0.32039,0.00427,43.18/503.47G,19.31G,0.5335853 0.4664147
26/100,81.29496,0.32503,0.00421,42.49/503.47G,19.31G,0.53340334 0.46659663
27/100,81.0027,0.3145,0.00415,42.10/503.47G,19.31G,0.5333372 0.4666628
28/100,81.60971,0.31074,0.00409,39.26/503.47G,19.31G,0.5268817  0.47311834
29/100,80.86781,0.31261,0.00403,39.02/503.47G,19.31G,0.53251255 0.46748748
30/100,81.42986,0.31276,0.00397,38.58/503.47G,19.31G,0.53413653 0.46586347
31/100,81.92446,0.31116,0.00391,38.25/503.47G,19.31G,0.53401905 0.46598095
32/100,81.7446,0.30835,0.00384,39.48/503.47G,19.31G,0.5228687 0.4771313
33/100,81.40737,0.31294,0.00377,39.98/503.47G,19.31G,0.52116126 0.47883874
34/100,81.47482,0.30546,0.0037,38.84/503.47G,19.31G,0.5229639  0.47703618
35/100,81.18255,0.31346,0.00364,39.13/503.47G,19.31G,0.5276     0.47239998
36/100,81.94694,0.30167,0.00356,39.91/503.47G,19.31G,0.5277425 0.4722575
37/100,81.69964,0.29995,0.00349,38.86/503.47G,19.31G,0.5228613  0.47713873
38/100,82.17176,0.29693,0.00342,39.85/503.47G,19.31G,0.5242042  0.47579584
39/100,82.05935,0.30434,0.00335,39.19/503.47G,19.31G,0.52038926 0.4796108
40/100,82.93615,0.29147,0.00327,39.07/503.47G,19.31G,0.5218667 0.4781333
41/100,83.2509,0.29787,0.0032,40.87/503.47G,19.31G,0.5201001 0.4798999
42/100,81.83453,0.30271,0.00312,39.51/503.47G,19.31G,0.51688147 0.48311853
43/100,82.39658,0.29109,0.00305,39.38/503.47G,19.31G,0.51849395 0.48150608
44/100,83.02608,0.29745,0.00297,39.14/503.47G,19.31G,0.51944995 0.48055005
45/100,82.39658,0.29443,0.00289,38.66/503.47G,19.31G,0.51563716 0.4843628
46/100,82.84622,0.29154,0.00281,39.28/503.47G,19.31G,0.5168875 0.4831125
