epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
16/350,57.66637,0.54779,0.00099,21.40/755.17G,1.78G,0.4977998 0.5022002
17/350,65.01799,0.49561,0.00099,22.35/755.17G,2.04G,0.49333572 0.5066643
18/350,68.54766,0.46836,0.00099,22.20/755.17G,2.04G,0.4865434 0.5134566
19/350,68.77248,0.45728,0.00099,22.39/755.17G,2.04G,0.4816369  0.51836306
20/350,70.43615,0.4424,0.00099,22.24/755.17G,2.31G,0.47533107 0.524669
21/350,71.76259,0.4311,0.00099,22.10/755.17G,2.31G,0.4679156 0.5320844
22/350,72.16727,0.42248,0.00099,22.44/755.17G,2.31G,0.46126172 0.53873825
23/350,72.72932,0.42326,0.00099,22.60/755.17G,2.31G,0.45537823 0.5446217
24/350,72.72932,0.4177,0.00099,22.41/755.17G,2.31G,0.44816694 0.5518331
25/350,74.16817,0.39835,0.00099,22.04/755.17G,2.31G,0.44126707 0.5587329
26/350,73.96583,0.3991,0.00099,22.71/755.17G,2.31G,0.43537015 0.56462985
27/350,75.2473,0.39213,0.00099,22.54/755.17G,2.31G,0.43026242 0.5697376
28/350,75.76439,0.38711,0.00098,22.61/755.17G,2.31G,0.42465338 0.57534665
29/350,75.76439,0.38908,0.00098,22.44/755.17G,2.31G,0.41833332 0.58166665
30/350,76.07914,0.38286,0.00098,22.86/755.17G,2.31G,0.41381362 0.58618635
31/350,76.70863,0.36991,0.00098,22.89/755.17G,2.31G,0.40993896 0.590061
32/350,76.52878,0.37258,0.00098,22.60/755.17G,2.31G,0.40602723 0.5939728
33/350,77.4955,0.36639,0.00098,22.43/755.17G,2.31G,0.40129387 0.5987061
34/350,77.36061,0.37126,0.00098,22.20/755.17G,2.31G,0.39779466 0.60220534
35/350,77.4955,0.36276,0.00098,22.42/755.17G,2.31G,0.39380032 0.6061997
36/350,77.06835,0.36628,0.00097,22.95/755.17G,2.31G,0.3900653 0.6099347
37/350,77.42806,0.36107,0.00097,22.48/755.17G,2.31G,0.38669962 0.6133003
38/350,77.90018,0.36173,0.00097,22.50/755.17G,2.31G,0.3829646 0.6170354
39/350,78.23741,0.35379,0.00097,22.95/755.17G,2.31G,0.379824   0.62017596
40/350,78.57464,0.35398,0.00097,24.94/755.17G,2.31G,0.3767133  0.62328666
41/350,78.28237,0.35726,0.00097,25.10/755.17G,2.31G,0.37186348 0.6281365
42/350,78.21493,0.3495,0.00096,24.82/755.17G,2.31G,0.36867738 0.63132256
43/350,78.08004,0.35685,0.00096,25.22/755.17G,2.31G,0.36600938 0.6339906
44/350,78.48471,0.35246,0.00096,24.90/755.17G,2.31G,0.36384517 0.63615483
45/350,78.32734,0.35356,0.00096,24.67/755.17G,2.31G,0.3612444  0.63875556
46/350,78.91187,0.34698,0.00096,25.43/755.17G,2.31G,0.35856202 0.641438
47/350,78.82194,0.34509,0.00096,22.61/755.17G,2.31G,0.35662156 0.6433785
48/350,79.20414,0.34111,0.00095,22.31/755.17G,2.31G,0.35394934 0.64605063
49/350,79.99101,0.34061,0.00095,22.82/755.17G,2.31G,0.35139546 0.6486046
50/350,79.90108,0.33229,0.00095,22.12/755.17G,2.31G,0.34863123 0.65136874
51/350,80.57554,0.33287,0.00095,22.30/755.17G,2.31G,0.3469072  0.65309286
52/350,79.65378,0.33443,0.00095,22.43/755.17G,2.31G,0.34342492 0.6565751
53/350,78.95683,0.34453,0.00094,22.65/755.17G,2.31G,0.34124634 0.65875363
54/350,79.33903,0.33676,0.00094,22.53/755.17G,2.31G,0.34009427 0.65990573
55/350,80.17086,0.33583,0.00094,22.60/755.17G,2.31G,0.33904022 0.6609598
56/350,78.84442,0.33837,0.00094,22.51/755.17G,2.31G,0.33745036 0.6625496
57/350,78.93435,0.33699,0.00094,22.73/755.17G,2.31G,0.33565232 0.6643477
58/350,79.06924,0.34195,0.00093,22.37/755.17G,2.31G,0.33297586 0.6670242
59/350,80.14838,0.32798,0.00093,22.14/755.17G,2.31G,0.33058113 0.6694189
60/350,80.32824,0.32679,0.00093,22.61/755.17G,2.31G,0.3288365 0.6711635
61/350,79.13669,0.34043,0.00093,22.61/755.17G,2.31G,0.3263268 0.6736732
62/350,80.48561,0.33029,0.00092,22.61/755.17G,2.31G,0.32543346 0.67456657
63/350,80.03597,0.32285,0.00092,22.68/755.17G,2.31G,0.32319945 0.6768005
64/350,80.7554,0.33019,0.00092,22.48/755.17G,2.31G,0.32151353 0.67848647
65/350,80.68795,0.32071,0.00092,22.46/755.17G,2.31G,0.32015687 0.6798431
66/350,80.19335,0.32659,0.00091,22.78/755.17G,2.31G,0.31915903 0.680841
67/350,80.86781,0.32627,0.00091,22.71/755.17G,2.31G,0.31730118 0.6826988
68/350,80.30576,0.33081,0.00091,22.77/755.17G,2.31G,0.31530586 0.6846941
69/350,81.45234,0.31778,0.00091,22.90/755.17G,2.31G,0.31442246 0.6855775
70/350,80.39568,0.32109,0.0009,22.99/755.17G,2.31G,0.31279916 0.6872008
71/350,80.6205,0.32092,0.0009,23.04/755.17G,2.31G,0.31078896 0.689211
72/350,80.57554,0.3265,0.0009,22.73/755.17G,2.31G,0.30893347 0.69106656
73/350,81.16007,0.31135,0.0009,22.91/755.17G,2.31G,0.3082735  0.69172657
74/350,81.09263,0.319,0.00089,27.15/755.17G,2.31G,0.30729297 0.692707
75/350,81.07014,0.3223,0.00089,27.99/755.17G,2.31G,0.3062767  0.69372326
76/350,81.29496,0.31578,0.00089,31.94/755.17G,2.31G,0.30525935 0.69474065
77/350,81.38489,0.31462,0.00089,30.03/755.17G,2.31G,0.30466065 0.6953393
78/350,81.69964,0.3139,0.00088,30.90/755.17G,2.31G,0.30412778 0.69587225
79/350,81.7446,0.31021,0.00088,27.92/755.17G,2.31G,0.30276754 0.6972324
80/350,81.99191,0.3117,0.00088,28.22/755.17G,2.31G,0.30224708 0.69775295
81/350,80.23831,0.32477,0.00087,28.28/755.17G,2.31G,0.3012302 0.6987698
82/350,81.76709,0.31194,0.00087,27.96/755.17G,2.31G,0.3001199  0.69988006
83/350,82.23921,0.3057,0.00087,27.78/755.17G,2.31G,0.29863083 0.70136917
84/350,81.72212,0.30961,0.00086,28.61/755.17G,2.31G,0.2978007  0.70219934
85/350,81.94694,0.30116,0.00086,28.24/755.17G,2.31G,0.29650912 0.70349085
86/350,81.56475,0.31284,0.00086,27.84/755.17G,2.31G,0.29599768 0.7040023
87/350,82.05935,0.30627,0.00086,27.85/755.17G,2.31G,0.29596344 0.70403653
88/350,82.05935,0.30741,0.00085,28.09/755.17G,2.31G,0.29650155 0.7034984
89/350,81.63219,0.30551,0.00085,28.14/755.17G,2.31G,0.2956815 0.7043185
90/350,81.45234,0.31178,0.00085,28.30/755.17G,2.31G,0.29461858 0.70538145
91/350,82.84622,0.29747,0.00084,29.28/755.17G,2.31G,0.29330677 0.7066932
92/350,81.69964,0.30923,0.00084,33.47/755.17G,2.31G,0.29290634 0.70709366
93/350,81.72212,0.30645,0.00084,41.06/755.17G,2.31G,0.2925541  0.70744586
94/350,82.55396,0.30522,0.00083,36.23/755.17G,2.31G,0.2915804 0.7084196
95/350,81.13759,0.30856,0.00083,36.01/755.17G,2.31G,0.29104212 0.70895785
96/350,82.39658,0.29958,0.00083,36.28/755.17G,2.31G,0.28992787 0.7100721
97/350,82.21673,0.30101,0.00082,36.60/755.17G,2.31G,0.28945792 0.7105421
98/350,82.41906,0.303,0.00082,41.21/755.17G,2.31G,0.2888615 0.7111385
99/350,81.72212,0.30815,0.00082,41.56/755.17G,2.31G,0.2886713 0.7113287
100/350,81.85701,0.30349,0.00081,36.59/755.17G,2.31G,0.2874855  0.71251446
101/350,82.73381,0.29606,0.00081,39.66/755.17G,2.31G,0.28691202 0.7130879
102/350,82.93615,0.29788,0.0008,39.76/755.17G,2.31G,0.28610754 0.7138925
103/350,82.41906,0.2981,0.0008,39.17/755.17G,2.31G,0.28610957 0.71389043
104/350,81.78957,0.30339,0.0008,41.03/755.17G,2.31G,0.2861066 0.7138934
105/350,82.03687,0.29841,0.00079,37.27/755.17G,2.31G,0.2852447 0.7147553
106/350,82.28417,0.3003,0.00079,36.53/755.17G,2.31G,0.28488714 0.7151128
107/350,83.45324,0.2858,0.00079,36.62/755.17G,2.31G,0.2841843 0.7158157
108/350,83.34083,0.28689,0.00078,36.54/755.17G,2.31G,0.28368717 0.7163128
109/350,83.04856,0.29277,0.00078,36.67/755.17G,2.31G,0.28283998 0.71716005
110/350,82.71133,0.29558,0.00078,36.75/755.17G,2.31G,0.28263712 0.7173628
111/350,82.82374,0.29232,0.00077,37.10/755.17G,2.31G,0.28250635 0.71749365
112/350,83.0036,0.29717,0.00077,36.70/755.17G,2.31G,0.28243086 0.7175692
113/350,83.31835,0.29232,0.00076,36.67/755.17G,2.31G,0.2820869 0.7179131
114/350,83.11601,0.28978,0.00076,37.22/755.17G,2.31G,0.28103814 0.71896183
115/350,82.48651,0.29348,0.00076,36.84/755.17G,2.31G,0.28010157 0.71989846
116/350,82.89119,0.29213,0.00075,36.87/755.17G,2.31G,0.2800733  0.71992666
117/350,83.43076,0.29478,0.00075,37.46/755.17G,2.31G,0.2802134  0.71978664
118/350,84.08273,0.28368,0.00074,36.83/755.17G,2.31G,0.28008348 0.7199165
119/350,81.7446,0.29907,0.00074,36.62/755.17G,2.31G,0.27986804 0.72013193
120/350,83.16097,0.29266,0.00074,36.53/755.17G,2.31G,0.27963817 0.7203618
121/350,83.09353,0.29091,0.00073,40.32/755.17G,2.31G,0.27936482 0.7206351
122/350,83.34083,0.2946,0.00073,36.63/755.17G,2.31G,0.2789298  0.72107023
123/350,82.89119,0.29358,0.00073,36.81/755.17G,2.31G,0.2789389  0.72106105
124/350,83.61061,0.28907,0.00072,37.00/755.17G,2.31G,0.27863383 0.72136617
125/350,82.68885,0.29399,0.00072,36.92/755.17G,2.31G,0.27795398 0.722046
126/350,82.93615,0.28524,0.00071,36.77/755.17G,2.31G,0.27749497 0.722505
127/350,82.82374,0.29195,0.00071,37.19/755.17G,2.31G,0.27676415 0.72323585
128/350,82.55396,0.29789,0.0007,37.33/755.17G,2.31G,0.27643636 0.7235637
129/350,82.55396,0.29634,0.0007,36.70/755.17G,2.31G,0.27586123 0.7241388
130/350,82.48651,0.28874,0.0007,36.92/755.17G,2.31G,0.27580345 0.72419655
131/350,83.70054,0.28095,0.00069,36.66/755.17G,2.31G,0.2762144  0.72378564
132/350,83.11601,0.28994,0.00069,36.99/755.17G,2.31G,0.27584794 0.7241521
133/350,82.84622,0.29252,0.00068,36.40/755.17G,2.31G,0.27601737 0.72398263
134/350,83.47572,0.28792,0.00068,36.55/755.17G,2.31G,0.27535513 0.7246449
135/350,82.93615,0.28707,0.00068,36.73/755.17G,2.31G,0.2748225  0.72517747
136/350,82.91367,0.29035,0.00067,36.56/755.17G,2.31G,0.27485526 0.72514474
137/350,83.16097,0.2824,0.00067,36.97/755.17G,2.31G,0.27519223 0.7248078
138/350,83.4982,0.28719,0.00066,36.40/755.17G,2.31G,0.27442804 0.725572
139/350,84.08273,0.27359,0.00066,36.75/755.17G,2.31G,0.27424127 0.72575873
140/350,83.02608,0.28485,0.00065,41.64/755.17G,2.31G,0.2742906  0.72570944
141/350,83.58813,0.28661,0.00065,37.02/755.17G,2.31G,0.27389675 0.7261032
142/350,83.36331,0.28827,0.00065,37.09/755.17G,2.31G,0.27352357 0.7264765
143/350,83.94784,0.28143,0.00064,37.21/755.17G,2.31G,0.2728675 0.7271325
144/350,84.15018,0.27709,0.00064,37.68/755.17G,2.31G,0.27305922 0.72694075
145/350,83.4982,0.28776,0.00063,36.95/755.17G,2.31G,0.27278504 0.727215
146/350,83.43076,0.28886,0.00063,42.24/755.17G,2.31G,0.2730644  0.72693557
147/350,83.94784,0.28573,0.00062,42.83/755.17G,2.31G,0.2726076  0.72739244
148/350,83.79047,0.27941,0.00062,36.56/755.17G,2.31G,0.27272967 0.7272703
149/350,84.1277,0.27522,0.00062,36.72/755.17G,2.31G,0.27227572 0.7277243
150/350,83.52068,0.28224,0.00061,36.21/755.17G,2.31G,0.27215192 0.7278481
151/350,83.7455,0.28716,0.00061,36.88/755.17G,2.31G,0.2722113 0.7277887
152/350,83.47572,0.28585,0.0006,36.60/755.17G,2.31G,0.2722775  0.72772247
153/350,84.44245,0.27968,0.0006,37.23/755.17G,2.31G,0.2722118 0.7277882
154/350,84.24011,0.27704,0.00059,36.33/755.17G,2.31G,0.27215168 0.7278483
155/350,84.03777,0.27545,0.00059,36.71/755.17G,2.31G,0.27230865 0.7276914
156/350,83.72302,0.28106,0.00058,36.41/755.17G,2.31G,0.27273405 0.7272659
157/350,83.65558,0.27666,0.00058,37.27/755.17G,2.31G,0.27255237 0.7274476
158/350,83.65558,0.28017,0.00058,37.32/755.17G,2.31G,0.2726122 0.7273877
159/350,83.97032,0.27717,0.00057,36.75/755.17G,2.31G,0.2724728  0.72752726
160/350,83.70054,0.28295,0.00057,37.12/755.17G,2.31G,0.27190897 0.72809106
161/350,83.56565,0.2796,0.00056,36.74/755.17G,2.31G,0.27201656 0.7279834
162/350,84.39748,0.27353,0.00056,36.66/755.17G,2.31G,0.2720788 0.7279212
163/350,84.06025,0.27388,0.00055,36.89/755.17G,2.31G,0.27178302 0.72821695
164/350,83.36331,0.28203,0.00055,36.67/755.17G,2.31G,0.27165145 0.72834855
165/350,84.375,0.27511,0.00054,37.49/755.17G,2.31G,0.27106184 0.72893816
166/350,83.7455,0.27923,0.00054,37.07/755.17G,2.31G,0.2712361 0.7287639
167/350,84.50989,0.27387,0.00054,37.42/755.17G,2.31G,0.27112022 0.72887975
168/350,84.08273,0.27844,0.00053,31.62/755.17G,2.31G,0.2710471  0.72895294
169/350,83.83543,0.2826,0.00053,31.56/755.17G,2.31G,0.27085018 0.72914976
170/350,83.52068,0.27966,0.00052,31.29/755.17G,2.31G,0.27103838 0.7289616
171/350,84.01529,0.27574,0.00052,31.95/755.17G,2.31G,0.27068773 0.72931224
172/350,84.10522,0.27161,0.00051,31.53/755.17G,2.31G,0.27090126 0.7290988
173/350,84.64478,0.27199,0.00051,31.67/755.17G,2.31G,0.2704595  0.72954047
174/350,84.375,0.26947,0.0005,31.42/755.17G,2.31G,0.27065653 0.7293435
175/350,84.24011,0.27315,0.0005,31.34/755.17G,2.31G,0.27022186 0.7297782
176/350,83.67806,0.28203,0.0005,31.43/755.17G,2.31G,0.27011997 0.7298801
177/350,84.03777,0.27225,0.00049,32.07/755.17G,2.31G,0.270225  0.7297751
178/350,84.17266,0.27316,0.00049,32.21/755.17G,2.31G,0.27035943 0.72964054
179/350,84.75719,0.27319,0.00048,31.68/755.17G,2.31G,0.2706778  0.72932214
180/350,84.24011,0.26505,0.00048,31.32/755.17G,2.31G,0.2707974  0.72920257
181/350,83.61061,0.281,0.00047,32.08/755.17G,2.31G,0.27097037 0.7290296
