epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,63.21942,0.50234,0.001,63.82/755.17G,2.79G,0.49969158 0.5003084
2/100,74.57284,0.40346,0.00199,65.36/755.17G,5.47G,0.49555913 0.50444084
3/100,75.15737,0.38732,0.00298,65.24/755.17G,7.30G,0.4796869 0.5203131
4/100,76.95594,0.36875,0.00397,65.19/755.17G,7.30G,0.45332593 0.546674
5/100,79.06924,0.3491,0.00497,64.72/755.17G,8.30G,0.4157898  0.58421016
6/100,78.95683,0.35267,0.00496,65.27/755.17G,9.14G,0.3634804 0.6365196
7/100,79.02428,0.33899,0.00494,65.32/755.17G,10.13G,0.32170337 0.6782966
8/100,80.08094,0.33022,0.00492,65.15/755.17G,12.81G,0.28103676 0.7189632
9/100,81.67716,0.30847,0.0049,65.47/755.17G,12.81G,0.24536018 0.7546398
10/100,81.63219,0.30698,0.00488,66.39/755.17G,13.80G,0.22017835 0.7798217
11/100,81.8795,0.30692,0.00485,66.23/755.17G,14.64G,0.2091201  0.79087985
12/100,82.3741,0.29895,0.00482,65.33/755.17G,14.65G,0.19913094 0.800869
13/100,81.72212,0.30046,0.00479,65.00/755.17G,16.48G,0.18764527 0.81235474
14/100,82.82374,0.29227,0.00476,65.93/755.17G,16.48G,0.17610109 0.823899
15/100,82.35162,0.29678,0.00473,65.36/755.17G,17.47G,0.17017291 0.8298271
16/100,82.64388,0.2897,0.00469,65.60/755.17G,18.31G,0.17024252 0.8297575
17/100,84.17266,0.27921,0.00465,65.89/755.17G,18.31G,0.16713804 0.83286196
18/100,83.47572,0.27913,0.00461,65.59/755.17G,18.37G,0.16329105 0.83670896
19/100,83.43076,0.28468,0.00457,65.90/755.17G,18.37G,0.1603736 0.8396264
20/100,83.54317,0.28403,0.00452,65.97/755.17G,18.37G,0.15797211 0.84202784
21/100,82.93615,0.28677,0.00448,66.12/755.17G,18.37G,0.15423852 0.8457615
22/100,84.26259,0.27406,0.00443,65.61/755.17G,18.37G,0.15486705 0.84513295
23/100,84.39748,0.26975,0.00438,65.54/755.17G,18.37G,0.15299423 0.8470058
24/100,84.28507,0.26933,0.00432,65.57/755.17G,18.37G,0.14619064 0.85380936
25/100,84.17266,0.27244,0.00427,65.98/755.17G,18.37G,0.15228891 0.8477111
26/100,84.21763,0.27507,0.00421,65.36/755.17G,18.37G,0.15105198 0.848948
27/100,85.36421,0.26264,0.00415,68.16/755.17G,18.37G,0.14262559 0.8573744
28/100,84.95953,0.26179,0.00409,66.03/755.17G,18.37G,0.14506131 0.8549387
29/100,84.8696,0.27026,0.00403,66.07/755.17G,18.37G,0.14431833 0.8556817
30/100,84.33004,0.27088,0.00397,65.80/755.17G,18.37G,0.13912858 0.8608714
