epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
1/100,59.82464,0.52749,0.001,45.03/440.67G,3.35G,0.33373696 0.3332632  0.33299989
2/100,74.59532,0.40872,0.00199,46.31/440.67G,7.05G,0.3338757  0.33309278 0.33303154
3/100,75.17986,0.3969,0.00298,46.49/440.67G,7.35G,0.33223152 0.3327043  0.33506414
4/100,75.89928,0.37794,0.00397,47.09/440.67G,9.19G,0.3260337  0.33253342 0.34143287
5/100,77.69784,0.37259,0.00497,46.64/440.67G,9.19G,0.3180398  0.32937753 0.35258263
6/100,78.08004,0.35185,0.00496,47.32/440.67G,11.04G,0.3089182  0.32454196 0.36653987
7/100,79.58633,0.34581,0.00494,46.88/440.67G,11.04G,0.2948775  0.31675905 0.38836342
8/100,79.29406,0.34324,0.00492,46.86/440.67G,12.58G,0.28325844 0.3087112  0.40803036
9/100,80.71043,0.32743,0.0049,47.28/440.67G,12.88G,0.27033755 0.2982068  0.43145573
10/100,81.0027,0.32079,0.00488,47.63/440.67G,12.88G,0.2554446  0.29004794 0.45450747
11/100,80.86781,0.31575,0.00485,46.91/440.67G,14.73G,0.24057159 0.2785591  0.4808693
12/100,81.51978,0.31336,0.00482,47.41/440.67G,14.73G,0.22052787 0.26973325 0.5097389
13/100,81.78957,0.30585,0.00479,47.55/440.67G,16.27G,0.2116113  0.25817764 0.53021103
14/100,82.14928,0.30583,0.00476,47.52/440.67G,16.57G,0.19886146 0.25277576 0.5483628
15/100,83.09353,0.29004,0.00473,47.88/440.67G,18.12G,0.18854178 0.24268778 0.5687704
16/100,83.04856,0.29421,0.00469,46.80/440.67G,18.42G,0.18028441 0.23598908 0.5837265
17/100,83.52068,0.28397,0.00465,47.35/440.67G,18.42G,0.17002009 0.22691211 0.6030677
18/100,84.08273,0.27762,0.00461,47.17/440.67G,18.42G,0.16178311 0.2217248  0.6164921
19/100,83.63309,0.27979,0.00457,47.38/440.67G,18.42G,0.16284963 0.21690805 0.6202423
20/100,84.1277,0.27459,0.00452,47.44/440.67G,18.42G,0.16039217 0.21127963 0.62832826
21/100,83.20594,0.28513,0.00448,47.14/440.67G,18.42G,0.15385678 0.20566589 0.6404773
22/100,84.17266,0.26563,0.00443,47.28/440.67G,18.42G,0.14701638 0.20312087 0.64986277
23/100,84.1277,0.27524,0.00438,47.00/440.67G,18.42G,0.14457983 0.1989296  0.65649056
24/100,84.93705,0.2661,0.00432,46.97/440.67G,18.42G,0.14654103 0.19711024 0.6563487
25/100,84.48741,0.27397,0.00427,47.68/440.67G,18.42G,0.14519602 0.19531845 0.6594855
26/100,84.68975,0.26632,0.00421,48.04/440.67G,18.42G,0.14308298 0.19397461 0.6629424
27/100,84.57734,0.25833,0.00415,47.42/440.67G,18.42G,0.1421171  0.19237256 0.66551036
28/100,86.21853,0.24956,0.00409,46.88/440.67G,18.42G,0.13879852 0.1890191  0.6721823
